slope,aspect,elevation,ndvi,humidity,label
1.3672625,207.10495,257.0,0.75878835,71.141106,1
3.5643795,220.23659,341.0,0.7708871,71.26377,1
5.437001,227.95796,345.0,0.7693107,71.26377,1
6.4905715,257.1545,406.0,0.76150477,71.26377,1
2.0232754,156.41107,619.0,0.6641632,71.8478,1
10.11713,154.36058,547.0,0.65710443,71.8478,1
12.399001,191.41183,548.0,0.662017,71.8478,1
4.903766,206.33533,587.0,0.71513534,71.8478,1
4.848362,90.0,583.0,0.7319411,71.8478,1
6.1900854,96.965225,402.0,0.7141471,71.8478,1
8.43485,185.04863,410.0,0.7346667,71.8478,1
7.910761,184.039,414.0,0.71702695,71.8478,1
9.190759,171.10727,419.0,0.7350774,71.8478,1
4.6065083,115.27307,391.0,0.68619955,71.8478,1
2.9344027,116.998055,352.0,0.6075261,71.8478,1
1.5844548,189.0474,255.0,0.6153136,71.141106,1
1.423101,200.49828,258.0,0.6350793,71.141106,1
1.2003797,231.1195,263.0,0.606258,71.141106,1
0.41052577,171.27066,273.0,0.61974424,71.141106,1
4.540242,91.46016,262.0,0.66729903,71.141106,1
5.240985,210.64798,267.0,0.6855064,71.141106,1
1.5035254,231.92184,220.0,0.7495509,71.141106,1
2.6054537,281.54288,253.0,0.73784345,71.141106,1
1.7476192,311.54364,261.0,0.6629875,71.141106,1
5.3504877,273.09625,352.0,0.7463952,71.26377,1
5.90258,267.75662,403.0,0.73767596,71.26377,1
4.5738153,222.81723,447.0,0.7283093,71.26377,1
12.056262,230.24619,538.0,0.7027274,71.8478,1
10.129942,152.05315,586.0,0.65796524,71.8478,1
13.4839735,131.16452,461.0,0.6448129,71.8478,1
11.225674,198.52904,420.0,0.63847965,71.8478,1
14.381817,224.74745,519.0,0.7007856,71.8478,1
4.6423125,175.39127,586.0,0.65944326,71.8478,1
4.7101984,119.41742,372.0,0.71329147,71.8478,1
1.527276,170.611,235.0,0.6950588,71.141106,1
1.9447852,206.63686,244.0,0.66603315,71.141106,1
1.3740436,245.05176,249.0,0.65151817,71.141106,1
1.14503,258.31818,264.0,0.5422579,71.141106,1
1.1042001,153.17052,267.0,0.42933673,71.141106,1
0.91159904,124.907814,256.0,0.42690352,71.141106,1
1.7109991,144.37746,197.0,0.6059917,71.141106,1
3.4853182,195.53392,209.0,0.7178227,71.141106,1
4.644145,277.87436,233.0,0.74128675,71.141106,1
3.2384012,272.04947,292.0,0.47433847,71.45114,1
3.1043763,259.24863,348.0,0.66380054,71.45114,1
1.0653625,83.75323,341.0,0.5933058,71.45114,1
5.935967,254.18945,350.0,0.7144099,71.26377,1
5.42564,206.51958,402.0,0.7387913,71.26377,1
7.427542,223.15485,359.0,0.6892944,71.8478,1
11.400028,214.11536,425.0,0.6750616,71.8478,1
9.293485,94.61014,471.0,0.7402559,71.8478,1
1.1227816,92.95907,228.0,0.67937326,71.141106,1
1.6247826,230.05717,225.0,0.67937326,71.141106,1
2.1456141,260.67545,248.0,0.66234046,71.141106,1
0.98632085,145.35887,253.0,0.43847418,71.141106,1
2.2902343,170.61127,247.0,0.6605698,71.141106,1
1.9048557,193.23012,327.0,0.64469844,71.45114,1
4.8801894,198.56519,373.0,0.69015205,71.8478,1
8.05173,168.47163,366.0,0.7065727,71.8478,1
9.089568,177.66286,490.0,0.693758,71.8478,1
3.7224882,191.56946,292.0,0.77794635,72.90971,1
1.7903814,76.90483,242.0,0.6838522,71.141106,1
2.0036476,150.17932,234.0,0.6828472,71.141106,1
2.4968114,192.96895,226.0,0.69029206,71.141106,1
2.8991425,143.04567,242.0,0.588398,71.141106,1
3.4105837,161.93083,216.0,0.72118735,71.141106,1
4.073187,208.25185,225.0,0.75769085,71.141106,1
3.8957999,185.49742,247.0,0.76872313,71.141106,1
0.4999784,338.04956,325.0,0.61835444,71.45114,1
0.74345,56.922535,321.0,0.6281352,71.45114,1
5.8554907,175.13434,353.0,0.73176396,71.8478,1
3.686165,163.32639,354.0,0.7190162,71.8478,1
2.1090217,8.489681,184.0,0.78378934,72.90971,1
2.5034633,354.29086,179.0,0.80421513,72.90971,1
2.8986387,200.09512,242.0,0.45467693,71.141106,1
2.004176,115.70124,237.0,0.55177325,71.141106,1
5.002382,145.15138,213.0,0.68717474,71.141106,1
4.6206985,157.87143,191.0,0.7677315,71.141106,1
4.5507255,168.17563,185.0,0.7667167,71.141106,1
6.1365104,175.94052,176.0,0.75909084,71.141106,1
4.9576125,202.86517,166.0,0.69529504,71.141106,1
7.985372,209.2284,209.0,0.66631883,71.141106,1
6.502728,158.74779,229.0,0.67484146,71.141106,1
5.9440494,114.69852,171.0,0.68627256,71.141106,1
1.8066092,127.549446,142.0,0.6908849,71.141106,1
1.1608772,176.9243,148.0,0.6795503,71.141106,1
1.0379065,106.21394,141.0,0.62013423,71.141106,1
2.6906848,310.2291,132.0,0.45057666,71.141106,1
6.104278,58.646282,206.0,0.7100798,71.141106,1
4.5418286,219.02032,224.0,0.63454175,71.141106,1
4.6377473,183.84244,254.0,0.64710695,71.141106,1
7.010972,81.96041,229.0,0.6785685,71.141106,1
2.2323241,163.80466,121.0,0.52911747,71.141106,1
4.446955,223.2375,132.0,0.4763562,71.141106,1
3.1737576,308.3431,170.0,0.48886934,71.141106,1
5.670824,3.1382544,172.0,0.49492282,71.141106,1
4.7429357,0.75082743,165.0,0.50486845,71.141106,1
1.3151591,22.263224,312.0,0.49814415,71.45114,1
6.650792,342.63983,327.0,0.68799603,71.8478,1
0.60768634,55.087257,218.0,0.6987588,71.141106,1
3.3574855,56.505367,214.0,0.69930637,71.141106,1
6.8828893,175.86806,172.0,0.6969097,71.141106,1
6.931427,156.26945,195.0,0.570047,71.141106,1
1.4614239,78.563324,127.0,0.49954212,71.141106,1
6.2346153,332.7557,172.0,0.59280753,71.141106,1
6.127045,340.47473,173.0,0.614953,71.141106,1
5.307949,308.36844,205.0,0.6909782,71.141106,1
3.9108298,336.57278,240.0,0.69264185,71.141106,1
4.465341,3.991549,230.0,0.6894985,71.141106,1
5.3629193,345.92398,235.0,0.75727236,71.141106,1
0.9211999,28.248924,327.0,0.65292835,71.45114,1
0.72533405,36.95097,322.0,0.6854503,71.45114,1
0.5606106,90.0,320.0,0.6566814,71.45114,1
2.7709222,63.961105,212.0,0.71984136,71.141106,1
1.6183486,62.255627,135.0,0.6887118,71.141106,1
2.6559691,196.33382,119.0,0.56465036,71.141106,1
6.098885,265.65567,147.0,0.5875454,71.141106,1
5.429772,283.5426,217.0,0.7266628,71.141106,1
3.3585362,349.32397,232.0,0.75367,71.141106,1
9.9234705,131.24358,430.0,0.7881164,71.8478,1
10.700995,123.46701,355.0,0.8143348,71.8478,1
1.9702504,24.25667,239.0,0.68657017,71.141106,1
4.1621246,80.396065,151.0,0.51367253,71.141106,1
8.235875,236.48149,194.0,0.73063856,71.141106,1
5.59397,248.80528,230.0,0.7411902,71.141106,1
3.329936,277.99628,278.0,0.73510563,71.141106,1
3.5529397,12.128675,283.0,0.66903067,71.141106,1
3.9982605,17.188559,266.0,0.62833816,71.141106,1
9.471644,174.01544,390.0,0.8064305,71.8478,1
9.211638,176.54114,403.0,0.8104932,71.8478,1
8.928927,142.98734,381.0,0.8089083,71.8478,1
8.363221,126.288704,316.0,0.81244004,71.8478,1
3.3838575,113.17558,272.0,0.7638033,71.8478,1
1.5739319,81.53046,243.0,0.67901236,71.141106,1
5.05891,84.09614,188.0,0.6303832,71.141106,1
5.4721575,93.02693,131.0,0.55991006,71.141106,1
8.274897,226.47298,138.0,0.66388583,71.141106,1
9.790186,217.66966,197.0,0.75554365,71.141106,1
11.644301,210.777,235.0,0.7195715,71.141106,1
2.5817642,127.28779,308.0,0.6347698,71.141106,1
8.812953,176.78436,316.0,0.7736757,71.8478,1
7.8727317,158.31493,306.0,0.7472742,71.8478,1
0.87168336,4.097134,243.0,0.63062227,71.141106,1
1.6805952,-0.0,247.0,0.72117656,71.141106,1
1.7339137,25.526222,243.0,0.7145128,71.141106,1
5.475611,70.26078,194.0,0.626336,71.141106,1
14.750704,217.66605,239.0,0.69763976,71.141106,1
1.6852,355.7622,258.0,0.59943485,71.141106,1
1.1801931,63.768738,257.0,0.64286494,71.141106,1
1.6558161,77.87797,241.0,0.6573098,71.141106,1
1.4922988,48.683823,231.0,0.66519344,71.141106,1
3.8267562,38.13751,217.0,0.74438274,71.141106,1
6.777976,59.286198,182.0,0.6583886,71.141106,1
3.952186,30.231058,123.0,0.60932946,71.141106,1
5.850883,331.487,150.0,0.5963666,71.141106,1
6.145642,38.749958,168.0,0.66432154,71.141106,1
12.196288,218.58209,186.0,0.71515936,71.141106,1
1.2000221,34.80687,272.0,0.5796289,71.34293,1
1.5241445,69.9879,256.0,0.5858429,71.34293,1
1.2991819,11.053213,249.0,0.6336198,71.34293,1
1.4701384,9.7539835,252.0,0.6377083,71.34293,1
3.0198383,75.56307,228.0,0.7224432,71.34293,1
3.367257,86.055984,198.0,0.7731358,71.34293,1
2.9297216,69.154945,174.0,0.77000207,71.34293,1
3.8703635,350.7541,154.0,0.7817064,71.34293,1
2.3647425,302.615,184.0,0.75889707,71.34293,1
0.6896494,147.1935,275.0,0.5578599,71.34293,1
0.80152893,68.802345,266.0,0.56727064,71.34293,1
0.7764344,53.327576,263.0,0.567979,71.34293,1
1.0992858,58.179413,256.0,0.5671153,71.34293,1
1.5052639,72.060555,248.0,0.68594456,71.34293,1
5.767481,145.22372,155.0,0.71545655,71.34293,1
10.118716,288.16785,177.0,0.7487726,71.34293,1
3.6189575,274.5876,239.0,0.7520337,71.34293,1
2.8141525,171.09543,235.0,0.74361974,71.34293,1
6.121544,179.4193,232.0,0.6683509,71.34293,1
1.235617,153.02881,262.0,0.66250074,71.34293,1
0.8153299,157.54942,261.0,0.57934076,71.34293,1
1.1030185,183.23627,257.0,0.576727,71.34293,1
0.578115,154.47649,262.0,0.62551,71.34293,1
1.7470603,93.80381,253.0,0.645719,71.34293,1
1.7827009,60.817142,234.0,0.65434045,71.34293,1
8.809414,252.52422,173.0,0.7376093,71.34293,1
7.220188,199.54866,217.0,0.76153773,71.34293,1
6.720266,146.39465,212.0,0.7643139,71.34293,1
1.0030192,96.636826,256.0,0.5953257,71.34293,1
1.1909188,141.14085,253.0,0.58252734,71.34293,1
1.3286728,163.66995,244.0,0.58485687,71.34293,1
1.8585064,183.84128,247.0,0.6293887,71.34293,1
1.2766083,182.79562,246.0,0.6318922,71.34293,1
0.18682423,90.0,248.0,0.628734,71.34293,1
0.39480346,28.24237,243.0,0.68581337,71.34293,1
1.7361467,14.537326,245.0,0.7376949,71.34293,1
5.0549364,283.89807,209.0,0.77425796,71.34293,1
1.3807335,97.23426,260.0,0.60023576,71.34293,1
1.5831743,100.54625,245.0,0.5939754,71.34293,1
0.9358098,93.55111,235.0,0.59910107,71.34293,1
1.0726223,166.57335,230.0,0.6947337,71.34293,1
2.1007264,186.80676,231.0,0.68546396,71.34293,1
3.1904173,183.35349,234.0,0.69518626,71.34293,1
1.8465401,199.70181,234.0,0.67751455,71.34293,1
1.7826182,119.18434,244.0,0.74257624,71.34293,1
1.0774336,156.13875,253.0,0.60596216,71.34293,1
0.8123217,129.95659,248.0,0.5909001,71.34293,1
1.402482,122.49432,243.0,0.6548337,71.34293,1
2.067092,83.56219,229.0,0.6263302,71.34293,1
2.363693,108.58048,210.0,0.64937663,71.34293,1
2.844239,183.76288,193.0,0.67346174,71.34293,1
5.4752145,204.8049,213.0,0.7341076,71.34293,1
3.418328,182.08548,230.0,0.7660843,71.34293,1
1.7379229,159.0111,243.0,0.68704873,71.34293,1
1.9945713,139.0544,236.0,0.6529022,71.34293,1
1.8007308,176.03557,222.0,0.66287917,71.34293,1
1.928369,172.5815,234.0,0.5738941,71.34293,1
3.0832558,98.64214,218.0,0.5762462,71.34293,1
4.353917,87.71529,185.0,0.64802194,71.34293,1
2.028039,180.0,148.0,0.74082744,71.34293,1
4.4024467,196.39919,185.0,0.7440723,71.34293,1
6.9598155,147.71199,168.0,0.7619566,71.34293,1
6.9129267,142.44334,125.0,0.7457807,71.34293,1
1.4544936,129.6083,225.0,0.63290864,71.34293,1
1.5101606,147.59532,222.0,0.69456285,71.34293,1
2.504473,139.75838,212.0,0.68015254,71.34293,1
3.699549,170.32399,196.0,0.63230395,71.34293,1
4.051009,180.0,202.0,0.6032235,71.34293,1
2.7080214,146.53432,196.0,0.69632244,71.34293,1
2.5587435,71.52093,178.0,0.76551956,71.34293,1
4.3965254,113.25184,157.0,0.75963235,71.34293,1
